Index,Load_AESO_2032.dat,Load_AVA_2032.dat,Load_AZPS_2032.dat,Load_BANC_2032.dat,Load_BCHA_2032.dat,Load_BPAT_2032.dat,Load_CFE_2032.dat,Load_CHPD_2032.dat,Load_CIPB_2032.dat,Load_CIPV_2032.dat,Load_CISC_2032.dat,Load_CISD_2032.dat,Load_DOPD_2032.dat,Load_EPE_2032.dat,Load_GCPD_2032.dat,Load_IID_2032.dat,Load_IPFE_2032.dat,Load_IPMV_2032.dat,Load_IPTV_2032.dat,Load_LDWP_2032.dat,Load_NEVP_2032.dat,Load_NWMT_2032.dat,Load_PACW_2032.dat,Load_PAID_2032.dat,Load_PAUT_2032.dat,Load_PAWY_2032.dat,Load_PGE_2032.dat,Load_PNM_2032.dat,Load_PSCO_2032.dat,Load_PSEI_2032.dat,Load_SCL_2032.dat,Load_SPPC_2032.dat,Load_SRP_2032.dat,Load_TEPC_2032.dat,Load_TH_Malin_2032.dat,Load_TH_Mead_2032.dat,Load_TH_PV_2032.dat,Load_TIDC_2032.dat,Load_TPWR_2032.dat,Load_VEA_2032.dat,Load_WACM_2032.dat,Load_WALC_2032.dat,Load_WAUW_2032.dat
5486,11122.0,1075.76,6043.9,1904.92,8311.0,5755.14,4603.0,158.62,5473.378253411195,7480.64923612512,12943.058795641704,2489.8935140768363,202.31,1343.86,1039.73,549.31,337.0167239420127,804.1554213390224,1678.917854718965,3103.74,3035.8150943396226,1382.42,2140.88,839.5041359132034,4621.922947813089,1184.5129162737064,2179.75,1863.59,6086.35,2550.19,825.63,1312.7849056603775,6041.28,2233.3,0.0,0.0,0.0,385.9,386.9,87.28020074514248,3080.49,1145.84,97.05
5487,11159.0,1231.2,6258.63,2035.05,8368.0,6325.33,4670.0,174.34,5832.556531238048,7971.55020902675,13792.418250222236,2653.2872396613966,226.93,1491.46,1070.7,588.56,363.4370358218109,867.1969131175227,1810.5360510606663,3376.22,3113.4033962264148,1460.15,2410.0,891.1013899354285,4905.993653611398,1257.3149564531727,2507.95,1984.45,6398.89,2866.7,986.08,1346.3366037735848,6328.16,2387.1,0.0,0.0,0.0,409.82,436.39,93.00776985156855,3250.9,1164.82,105.47
5488,11191.0,1288.34,6610.01,2110.2,8441.0,6541.82,4716.0,177.75,6074.108421070623,8301.687260862054,14363.623119966604,2763.1715662986603,236.07,1652.47,1094.45,639.78,369.31551936336723,881.2235594925202,1839.8209211441126,3663.63,3266.743962264151,1527.6,2557.53,944.5492076989946,5200.2527106716,1332.728081629405,2700.09,2091.03,6774.31,2914.02,1026.09,1412.6460377358492,6769.92,2588.36,0.0,0.0,0.0,430.38,447.28,96.85963180205887,3387.81,1210.01,113.35
5489,11148.0,1343.69,6856.87,2210.05,8548.0,6627.65,4738.0,185.16,6389.490846037481,8732.730975947019,15109.417231110676,2906.642128357732,243.84,1814.97,1117.63,690.64,379.84874846181765,906.3568917041947,1892.2943598339875,3918.8,3478.481698113207,1608.76,2652.37,997.4563829497321,5491.535239172013,1407.3783778782547,2848.2,2214.17,7166.94,3031.41,1083.51,1504.2083018867922,7290.77,2813.51,0.0,0.0,0.0,446.11,472.3,101.88881854709,3522.08,1298.65,121.61
5490,11006.0,1421.32,7238.7,2351.52,8646.0,6726.05,4659.0,193.43,6627.788417976273,9058.420242604847,15672.926519462932,3015.046033828886,249.06,1952.93,1142.65,773.32,395.55896286256973,943.8430257244664,1970.5580114129637,4170.6,3793.5052830188674,1685.25,2768.16,1058.0121339368657,5824.927301386255,1492.8205646768795,2935.17,2337.86,7560.78,3123.01,1110.74,1640.434716981132,7955.91,3074.47,0.0,0.0,0.0,463.01,485.81,105.6887861270641,3649.89,1371.4,128.01
5491,10876.0,1510.93,7714.26,2516.43,8500.0,6924.68,4534.0,201.29,6891.247845337173,9418.499059158221,16295.936788572875,3134.8963144119007,257.26,2069.15,1182.79,859.09,412.10332678802325,983.319523471054,2052.9771497409224,4475.65,4148.879811320754,1752.05,2889.98,1091.5723916023608,6009.694616284521,1540.1729921131187,3054.52,2419.02,8024.17,3197.09,1124.61,1794.110188679245,8543.88,3306.58,0.0,0.0,0.0,489.59,490.76,109.88999251983049,3782.05,1435.53,133.65
5492,10790.0,1567.3,8138.84,2783.91,8318.0,7100.53,4440.0,205.37,7216.531623801302,9863.075285435849,17065.144922015104,3282.8710994046005,267.15,2170.94,1217.3,935.42,425.595516091575,1015.5132290156201,2120.191254892805,4837.97,4435.8392452830185,1789.68,3002.59,1116.2512064928596,6145.564799631683,1574.9939938754567,3150.8,2492.64,8275.53,3247.27,1134.27,1918.200754716981,9035.42,3501.7,0.0,0.0,0.0,524.46,496.31,115.07706934314221,3844.91,1486.76,137.22
5493,10817.0,1612.2,8537.71,3066.15,8241.0,7224.37,4440.0,208.73,7540.633237171116,10306.035807115633,17831.5575548335,3430.308105887462,274.42,2260.65,1246.02,994.3,430.87169109380534,1028.102707313163,2146.475601593031,5206.64,4649.105849056603,1821.85,3097.76,1132.9403861178416,6237.447732650198,1598.5418812319606,3198.85,2560.31,8355.14,3287.53,1138.94,2010.4241509433962,9486.75,3660.74,0.0,0.0,0.0,560.66,500.83,120.24529499228532,3878.77,1529.12,138.98
5494,10527.0,1652.74,8904.85,3295.4,8033.0,7318.39,4509.0,209.54,7907.250505103664,10807.103896754908,18698.50820846157,3597.0859011193024,278.96,2330.82,1260.42,1051.76,437.55922797092455,1044.0598354112492,2179.790936617826,5555.2,4822.112264150944,1836.04,3161.8,1142.2298371443414,6288.591169633103,1611.6489932225543,3231.4,2615.29,8446.51,3287.82,1137.47,2085.2377358490567,9875.57,3784.16,0.0,0.0,0.0,593.68,501.15,126.09148856055297,3897.87,1558.37,140.74
5495,10278.0,1686.9,9216.51,3470.55,7443.0,7395.66,4439.0,207.08,8191.12967197175,11195.091054678825,19369.805637127585,3726.225321718612,281.16,2388.81,1260.81,1106.31,446.32377326341776,1064.9729121573828,2223.4533145791993,5718.69,4957.623018867925,1824.72,3202.38,1152.6321527825285,6345.861526385107,1626.3263208323642,3255.97,2649.8,8552.07,3251.53,1134.31,2143.8369811320754,10182.09,3891.82,0.0,0.0,0.0,623.75,497.44,130.61831450322714,3902.56,1572.28,140.19
